,Batch,FPS,Memory,Method,Run,Time
0,0.0,0.010603048376408217,144.0,CA-LBF I,1.0,5.2237590154012046e-05
1,1.0,0.1823671497584541,176.0,CA-LBF I,1.0,0.0009269865353902181
2,2.0,0.1814917127071823,176.0,CA-LBF I,1.0,0.0006756238142649332
3,3.0,0.23892445582586427,176.0,CA-LBF I,1.0,0.0005380352338155111
4,4.0,0.19078014184397163,176.0,CA-LBF I,1.0,0.0006191972891489664
5,5.0,0.19105601062652203,208.0,CA-LBF I,1.0,0.0006247655550638834
6,6.0,0.17417479759186216,208.0,CA-LBF I,1.0,0.0005701716740926107
7,7.0,0.21157606570199453,208.0,CA-LBF I,1.0,0.0006081124146779378
8,8.0,0.1772735657627744,208.0,CA-LBF I,1.0,0.000636432965596517
9,9.0,0.19529329118370214,272.0,CA-LBF I,1.0,0.000885934034983317
10,10.0,0.16283333333333333,272.0,CA-LBF I,1.0,0.0007650132973988851
11,0.0,0.010603048376408217,144.0,CA-LBF II,1.0,5.445404847462972e-05
12,1.0,0.2028985507246377,176.0,CA-LBF II,1.0,0.0005914894739786784
13,2.0,0.3323204419889503,176.0,CA-LBF II,1.0,0.0004151952266693115
14,3.0,0.41638924455825865,176.0,CA-LBF II,1.0,0.0005372838179270427
15,4.0,0.466193853427896,176.0,CA-LBF II,1.0,0.0004720028241475423
16,5.0,0.5220278946203232,208.0,CA-LBF II,1.0,0.0004971432685852051
17,6.0,0.5511729292090513,208.0,CA-LBF II,1.0,0.000988517999649048
18,7.0,0.5737192021900664,208.0,CA-LBF II,1.0,0.0010305261611938477
19,8.0,0.5950931562442354,208.0,CA-LBF II,1.0,0.0006512109438578287
20,9.0,0.6260976466455919,272.0,CA-LBF II,1.0,0.0008938602606455484
21,10.0,0.6391666666666667,272.0,CA-LBF II,1.0,0.0009363730748494466
22,0.0,0.007620941020543406,83252.0,IA-LBF,1.0,4.146170616149902e-05
23,1.0,0.015096618357487922,93160.0,IA-LBF,1.0,3.8350820541381833e-05
24,2.0,0.019613259668508288,101268.0,IA-LBF,1.0,4.124760627746582e-05
25,3.0,0.022535211267605635,110984.0,IA-LBF,1.0,4.0024518966674805e-05
26,4.0,0.02458628841607565,120848.0,IA-LBF,1.0,4.389365514119466e-05
27,5.0,0.026344919194155412,130372.0,IA-LBF,1.0,4.679123560587565e-05
28,6.0,0.0280257421631721,139808.0,IA-LBF,1.0,4.131913185119629e-05
29,7.0,0.029135705905357842,149696.0,IA-LBF,1.0,5.739768346150716e-05
30,8.0,0.03117505995203837,159340.0,IA-LBF,1.0,4.057645797729492e-05
31,9.0,0.032665964172813484,170284.0,IA-LBF,1.0,4.476189613342285e-05
32,10.0,0.033166666666666664,180988.0,IA-LBF,1.0,4.669745763142904e-05
33,0.0,0.010603048376408217,144.0,LBF,1.0,6.499385833740234e-05
34,1.0,0.018417874396135264,144.0,LBF,1.0,4.5641263326009115e-05
35,2.0,0.024585635359116023,144.0,LBF,1.0,4.309415817260742e-05
36,3.0,0.030985915492957747,144.0,LBF,1.0,3.97797425587972e-05
37,4.0,0.03640661938534279,144.0,LBF,1.0,4.022081693013509e-05
38,5.0,0.041177772858091655,144.0,LBF,1.0,4.108508427937825e-05
39,6.0,0.04712476645214864,144.0,LBF,1.0,6.407856941223144e-05
40,7.0,0.05162299569808369,144.0,LBF,1.0,6.097714106241862e-05
41,8.0,0.055893746541228556,144.0,LBF,1.0,4.2498111724853516e-05
42,9.0,0.06340007024938532,144.0,LBF,1.0,5.0609509150187177e-05
43,10.0,0.0675,144.0,LBF,1.0,4.3967962265014647e-05
