,Batch,Classifier,FPS,Memory,Method,Run,Time
0,0.0,LR,0.03434478159386462,39724.0,IA-LBF,1.0,0.00012432746092478435
1,1.0,LR,0.039085989176187615,43144.0,IA-LBF,1.0,2.754966417948405e-05
2,2.0,LR,0.04269476018852232,47004.0,IA-LBF,1.0,3.5532315572102864e-05
3,3.0,LR,0.04448990028125799,51052.0,IA-LBF,1.0,3.3972660700480145e-05
4,4.0,LR,0.047109207708779445,56180.0,IA-LBF,1.0,3.484447797139486e-05
5,5.0,LR,0.04552520541860981,60784.0,IA-LBF,1.0,3.424167633056641e-05
6,6.0,LR,0.044467640918580374,65000.0,IA-LBF,1.0,3.517627716064453e-05
7,7.0,LR,0.04517776468277352,68976.0,IA-LBF,1.0,3.4457842508951824e-05
8,8.0,LR,0.04372093023255814,73724.0,IA-LBF,1.0,3.597537676493327e-05
9,9.0,LR,0.04328699630476861,77392.0,IA-LBF,1.0,3.329078356424967e-05
10,10.0,LR,0.04566666666666667,81804.0,IA-LBF,1.0,3.286004066467285e-05
11,0.0,LR,0.014338112704234745,144.0,CA-LBF I,1.0,0.0001748312711715698
12,1.0,LR,0.1915213469633193,176.0,CA-LBF I,1.0,0.0005338589350382487
13,2.0,LR,0.20016634322151372,176.0,CA-LBF I,1.0,0.00029704491297403974
14,3.0,LR,0.21759140884684225,176.0,CA-LBF I,1.0,0.0002986141045888265
15,4.0,LR,0.16393052581489412,176.0,CA-LBF I,1.0,0.0002985326449076335
16,5.0,LR,0.19142793693093493,208.0,CA-LBF I,1.0,0.00022614002227783203
17,6.0,LR,0.21565762004175365,208.0,CA-LBF I,1.0,0.0002762416998545329
18,7.0,LR,0.23669220192496562,208.0,CA-LBF I,1.0,0.0002993182341257731
19,8.0,LR,0.23553488372093023,208.0,CA-LBF I,1.0,0.0002347548802693685
20,9.0,LR,0.1833538623966215,272.0,CA-LBF I,1.0,0.00021663546562194824
21,10.0,LR,0.19216666666666668,272.0,CA-LBF I,1.0,0.000239792267481486
22,0.0,LR,0.014338112704234745,144.0,CA-LBF II,1.0,0.00015933911005655926
23,1.0,LR,0.19633193024654239,176.0,CA-LBF II,1.0,0.0003459338347117106
24,2.0,LR,0.3540338231217078,176.0,CA-LBF II,1.0,0.00039339224497477213
25,3.0,LR,0.4395295320889798,176.0,CA-LBF II,1.0,0.00030745228131612144
26,4.0,LR,0.5101118248869855,176.0,CA-LBF II,1.0,0.00039923787117004397
27,5.0,LR,0.5463024650233178,208.0,CA-LBF II,1.0,0.0003321989377339681
28,6.0,LR,0.5887265135699373,208.0,CA-LBF II,1.0,0.0003430505593617757
29,7.0,LR,0.618542526026321,208.0,CA-LBF II,1.0,0.000402835210164388
30,8.0,LR,0.649860465116279,208.0,CA-LBF II,1.0,0.0002340678373972575
31,9.0,LR,0.6603906387471405,272.0,CA-LBF II,1.0,0.00026976903279622396
32,10.0,LR,0.6855,272.0,CA-LBF II,1.0,0.00021923542022705077
33,0.0,LR,0.014338112704234745,144.0,LBF,1.0,3.7484010060628256e-05
34,1.0,LR,0.02074564040889958,144.0,LBF,1.0,2.966920534769694e-05
35,2.0,LR,0.02661491544219573,144.0,LBF,1.0,3.495176633199056e-05
36,3.0,LR,0.03272820250575301,144.0,LBF,1.0,3.40267022450765e-05
37,4.0,LR,0.03759219605044016,144.0,LBF,1.0,3.6396185557047526e-05
38,5.0,LR,0.039529202753719746,144.0,LBF,1.0,3.320217132568359e-05
39,6.0,LR,0.04509394572025052,144.0,LBF,1.0,3.467718760172526e-05
40,7.0,LR,0.04989196621488902,144.0,LBF,1.0,3.368377685546875e-05
41,8.0,LR,0.05730232558139535,144.0,LBF,1.0,3.64840030670166e-05
42,9.0,LR,0.06176315326412106,144.0,LBF,1.0,3.319223721822103e-05
43,10.0,LR,0.07016666666666667,144.0,LBF,1.0,3.4027894337972004e-05
44,0.0,SVM,0.04601533844614872,28512.0,IA-LBF,1.0,0.0005332482258478801
45,1.0,SVM,0.05622369212266987,30960.0,IA-LBF,1.0,2.8872092564900715e-05
46,2.0,SVM,0.06210146936512337,34744.0,IA-LBF,1.0,3.2535394032796225e-05
47,3.0,SVM,0.06468933776527742,38236.0,IA-LBF,1.0,3.100911776224772e-05
48,4.0,SVM,0.06804663335712587,41820.0,IA-LBF,1.0,3.0771891276041666e-05
49,5.0,SVM,0.06906506773262269,45564.0,IA-LBF,1.0,3.015796343485514e-05
50,6.0,SVM,0.07181628392484342,49288.0,IA-LBF,1.0,3.186662991841634e-05
51,7.0,SVM,0.07444509919465724,52380.0,IA-LBF,1.0,2.945065498352051e-05
52,8.0,SVM,0.07702325581395349,56192.0,IA-LBF,1.0,3.126819928487142e-05
53,9.0,SVM,0.07830371282773183,59568.0,IA-LBF,1.0,2.9124816258748372e-05
54,10.0,SVM,0.08183333333333333,63120.0,IA-LBF,1.0,2.839048703511556e-05
55,0.0,SVM,0.01300433477825942,144.0,CA-LBF I,1.0,0.0007113351821899414
56,1.0,SVM,0.1280817799158148,176.0,CA-LBF I,1.0,0.0001566473642985026
57,2.0,SVM,0.16495702800110895,176.0,CA-LBF I,1.0,0.00021883169809977214
58,3.0,SVM,0.07977499360777295,176.0,CA-LBF I,1.0,0.00027934948603312176
59,4.0,SVM,0.10397335236735665,176.0,CA-LBF I,1.0,0.0003720247745513916
60,5.0,SVM,0.1314679102820342,208.0,CA-LBF I,1.0,0.0002765027681986491
61,6.0,SVM,0.17640918580375783,208.0,CA-LBF I,1.0,0.00044509410858154294
62,7.0,SVM,0.23924572775486153,208.0,CA-LBF I,1.0,0.00024086872736612955
63,8.0,SVM,0.07646511627906977,208.0,CA-LBF I,1.0,0.00026743491490681967
64,9.0,SVM,0.12018300193559739,272.0,CA-LBF I,1.0,0.0003131389617919922
65,10.0,SVM,0.10883333333333334,272.0,CA-LBF I,1.0,0.0002242449919382731
66,0.0,SVM,0.08369456485495165,144.0,CA-LBF II,1.0,0.0006273167530695598
67,1.0,SVM,0.14852675886951291,176.0,CA-LBF II,1.0,0.00016124924023946127
68,2.0,SVM,0.3110618242306626,176.0,CA-LBF II,1.0,0.0003388063112894694
69,3.0,SVM,0.38199948862183586,176.0,CA-LBF II,1.0,0.0004227145512898763
70,4.0,SVM,0.41113490364025695,176.0,CA-LBF II,1.0,0.0003068971633911133
71,5.0,SVM,0.4334887852542749,208.0,CA-LBF II,1.0,0.00027959585189819337
72,6.0,SVM,0.4605427974947808,208.0,CA-LBF II,1.0,0.00030414183934529624
73,7.0,SVM,0.47200942840306426,208.0,CA-LBF II,1.0,0.000284419854482015
74,8.0,SVM,0.49730232558139537,208.0,CA-LBF II,1.0,0.0004101916154225667
75,9.0,SVM,0.5180362484603203,272.0,CA-LBF II,1.0,0.0003362556298573812
76,10.0,SVM,0.5378333333333334,272.0,CA-LBF II,1.0,0.0003334768613179525
77,0.0,SVM,0.016005335111703902,144.0,LBF,1.0,3.0663649241129555e-05
78,1.0,SVM,0.027961515333734217,144.0,LBF,1.0,2.9108524322509766e-05
79,2.0,SVM,0.036041031327973386,144.0,LBF,1.0,3.357609113057455e-05
80,3.0,SVM,0.04346714395295321,144.0,LBF,1.0,3.254413604736328e-05
81,4.0,SVM,0.0516297882464906,144.0,LBF,1.0,3.430366516113281e-05
82,5.0,SVM,0.05507439484787919,144.0,LBF,1.0,3.172477086385091e-05
83,6.0,SVM,0.060751565762004175,144.0,LBF,1.0,3.479520479838053e-05
84,7.0,SVM,0.06364172068355922,144.0,LBF,1.0,3.2086372375488284e-05
85,8.0,SVM,0.06995348837209302,144.0,LBF,1.0,3.511508305867513e-05
86,9.0,SVM,0.07496040823508711,144.0,LBF,1.0,3.1015872955322266e-05
87,10.0,SVM,0.08066666666666666,144.0,LBF,1.0,3.0574401219685875e-05
88,0.0,NN,0.04468156052017339,704.0,IA-LBF,1.0,0.2386080878575643
89,1.0,NN,0.0550210463018641,1676.0,IA-LBF,1.0,0.0011042805512746176
90,2.0,NN,0.06736900471305794,2756.0,IA-LBF,1.0,0.0012344765663146974
91,3.0,NN,0.08130912810023012,3932.0,IA-LBF,1.0,0.0014741218090057373
92,4.0,NN,0.08160837497025934,5112.0,IA-LBF,1.0,0.001064510742823283
93,5.0,NN,0.08971796580057739,6116.0,IA-LBF,1.0,0.001299527088801066
