,Batch,FPS,Memory,Method,Run,Time
0,0.0,0.001049317943336831,144.0,CA-LBF I,1.0,2.4678739782882065e-05
1,1.0,0.007597340930674264,176.0,CA-LBF I,1.0,7.149821422139152e-05
2,2.0,0.0008771929824561404,176.0,CA-LBF I,1.0,8.046431619612897e-05
3,3.0,0.0032653061224489797,176.0,CA-LBF I,1.0,6.552472140619664e-05
4,4.0,0.0015151515151515152,176.0,CA-LBF I,1.0,6.887951835257109e-05
5,5.0,0.009817671809256662,208.0,CA-LBF I,1.0,5.7843213524323346e-05
6,6.0,0.0033003300330033004,208.0,CA-LBF I,1.0,8.25683927275444e-05
7,7.0,0.0043859649122807015,208.0,CA-LBF I,1.0,8.915282867766998e-05
8,8.0,0.01012507444907683,208.0,CA-LBF I,1.0,0.00010119034693791316
9,9.0,0.009626274065685165,272.0,CA-LBF I,1.0,6.32215332198929e-05
10,10.0,0.009734991887506761,272.0,CA-LBF I,1.0,5.124820457710015e-05
11,0.0,0.001049317943336831,144.0,CA-LBF II,1.0,2.560119106344981e-05
12,1.0,0.007597340930674264,176.0,CA-LBF II,1.0,6.39730463913881e-05
13,2.0,0.0008771929824561404,176.0,CA-LBF II,1.0,0.00011453341916610635
14,3.0,0.0032653061224489797,176.0,CA-LBF II,1.0,0.0001282131737047206
15,4.0,0.0015151515151515152,176.0,CA-LBF II,1.0,0.0001426980795104647
16,5.0,0.009817671809256662,208.0,CA-LBF II,1.0,0.0001854023646787216
17,6.0,0.0033003300330033004,208.0,CA-LBF II,1.0,0.00017629034532223894
18,7.0,0.0043859649122807015,208.0,CA-LBF II,1.0,0.00019659183837555266
19,8.0,0.01012507444907683,208.0,CA-LBF II,1.0,0.0002306136456164685
20,9.0,0.009626274065685165,272.0,CA-LBF II,1.0,0.00022924601376711669
21,10.0,0.009734991887506761,272.0,CA-LBF II,1.0,0.0002855678181071858
22,0.0,0.002098635886673662,62472.0,IA-LBF,1.0,2.7056654838666524e-05
23,1.0,0.002849002849002849,67828.0,IA-LBF,1.0,2.6024104467506616e-05
24,2.0,0.0017543859649122807,74228.0,IA-LBF,1.0,2.9940422766847037e-05
25,3.0,0.0024489795918367346,80736.0,IA-LBF,1.0,3.03039133874445e-05
26,4.0,0.0022727272727272726,87844.0,IA-LBF,1.0,2.7773810214683657e-05
27,5.0,0.004908835904628331,93256.0,IA-LBF,1.0,2.3766293551752475e-05
28,6.0,0.0039603960396039604,100004.0,IA-LBF,1.0,2.9045375969891993e-05
29,7.0,0.0043859649122807015,106028.0,IA-LBF,1.0,3.1403132847377234e-05
30,8.0,0.004764740917212627,112628.0,IA-LBF,1.0,3.076778663383735e-05
31,9.0,0.004530011325028313,119012.0,IA-LBF,1.0,2.9355615049928098e-05
32,10.0,0.005408328826392645,126220.0,IA-LBF,1.0,3.060272761753627e-05
33,0.0,0.001049317943336831,144.0,LBF,1.0,2.5147999802680863e-05
34,1.0,0.000949667616334283,144.0,LBF,1.0,2.3923936437387934e-05
35,2.0,0.0017543859649122807,144.0,LBF,1.0,2.756665964595607e-05
36,3.0,0.0024489795918367346,144.0,LBF,1.0,3.2107035319010414e-05
37,4.0,0.0030303030303030303,144.0,LBF,1.0,2.8756146873932718e-05
38,5.0,0.004908835904628331,144.0,LBF,1.0,2.5282792054890282e-05
39,6.0,0.005940594059405941,144.0,LBF,1.0,3.0836772397567666e-05
40,7.0,0.010025062656641603,144.0,LBF,1.0,3.342052082439045e-05
41,8.0,0.012507444907683145,144.0,LBF,1.0,3.2527106148856024e-05
42,9.0,0.014156285390713477,144.0,LBF,1.0,2.922330583844866e-05
43,10.0,0.01568415359653867,144.0,LBF,1.0,2.965298327770862e-05
44,0.0,0.0,144.0,CA-LBF I,2.0,2.6159025218388807e-05
45,1.0,0.0019249278152069298,176.0,CA-LBF I,2.0,7.41586007707106e-05
46,2.0,0.016873889875666074,176.0,CA-LBF I,2.0,7.700398971474235e-05
47,3.0,0.015612161051766639,176.0,CA-LBF I,2.0,6.177256016131958e-05
48,4.0,0.006092916984006093,176.0,CA-LBF I,2.0,5.8368255531853016e-05
49,5.0,0.004294917680744453,208.0,CA-LBF I,2.0,8.252670204704577e-05
50,6.0,0.005372733378106112,208.0,CA-LBF I,2.0,3.775351685904414e-05
51,7.0,0.005089058524173028,208.0,CA-LBF I,2.0,3.4498644399118946e-05
52,8.0,0.0030102347983142685,208.0,CA-LBF I,2.0,3.6252723945366156e-05
53,9.0,0.003986332574031891,272.0,CA-LBF I,2.0,3.3300001542646805e-05
54,10.0,0.004326663061114116,272.0,CA-LBF I,2.0,3.595142574100704e-05
55,0.0,0.0,144.0,CA-LBF II,2.0,2.5402617781129603e-05
56,1.0,0.0019249278152069298,176.0,CA-LBF II,2.0,0.000131084619324064
57,2.0,0.016873889875666074,176.0,CA-LBF II,2.0,7.001689222992444e-05
58,3.0,0.015612161051766639,176.0,CA-LBF II,2.0,8.115872659318434e-05
59,4.0,0.006092916984006093,176.0,CA-LBF II,2.0,8.068579793627797e-05
60,5.0,0.004294917680744453,208.0,CA-LBF II,2.0,6.974459997291773e-05
61,6.0,0.005372733378106112,208.0,CA-LBF II,2.0,6.733696317412163e-05
62,7.0,0.005089058524173028,208.0,CA-LBF II,2.0,6.893178918859461e-05
63,8.0,0.0030102347983142685,208.0,CA-LBF II,2.0,0.00013599290952577697
64,9.0,0.003986332574031891,272.0,CA-LBF II,2.0,7.645245436783675e-05
65,10.0,0.004326663061114116,272.0,CA-LBF II,2.0,6.643625406118539e-05
66,0.0,0,62692.0,IA-LBF,2.0,2.723497887180276e-05
67,1.0,0.0028873917228103944,67976.0,IA-LBF,2.0,2.6941299438476562e-05
68,2.0,0.0026642984014209592,75136.0,IA-LBF,2.0,2.920823019058978e-05
69,3.0,0.0024650780608052587,81016.0,IA-LBF,2.0,2.7973143780817752e-05
70,4.0,0.0030464584920030465,87728.0,IA-LBF,2.0,2.6663795846407532e-05
71,5.0,0.0035790980672870437,94632.0,IA-LBF,2.0,3.0165813008292775e-05
72,6.0,0.0033579583613163196,102320.0,IA-LBF,2.0,2.773602803548177e-05
73,7.0,0.003816793893129771,109452.0,IA-LBF,2.0,3.034858913212032e-05
74,8.0,0.003612281757977122,115348.0,IA-LBF,2.0,2.8615469460958965e-05
75,9.0,0.003416856492027335,121148.0,IA-LBF,2.0,2.5967975239177328e-05
76,10.0,0.0037858301784748512,127132.0,IA-LBF,2.0,2.7120768368899168e-05
77,0.0,0.06,144.0,LBF,2.0,2.4768881601830052e-05
78,1.0,0.11,144.0,LBF,2.0,2.508345848875619e-05
79,2.0,0.12,144.0,LBF,2.0,2.7233134201966998e-05
80,3.0,0.0024650780608052587,144.0,LBF,2.0,2.637717241797942e-05
81,4.0,0.002284843869002285,144.0,LBF,2.0,2.5065218816038038e-05
82,5.0,0.0035790980672870437,144.0,LBF,2.0,2.779726122246414e-05
83,6.0,0.004029550033579583,144.0,LBF,2.0,2.584561624162184e-05
84,7.0,0.006361323155216285,144.0,LBF,2.0,2.8202821920206258e-05
85,8.0,0.00963275135460566,144.0,LBF,2.0,2.6692400921832074e-05
86,9.0,0.01366742596810934,144.0,LBF,2.0,2.4771952367090918e-05
87,10.0,0.01568415359653867,144.0,LBF,2.0,2.5226519658015324e-05
88,0.0,0.08,144.0,CA-LBF I,3.0,2.5733268424256207e-05
89,1.0,0.003937007874015748,176.0,CA-LBF I,3.0,6.95257239002999e-05
90,2.0,0.004516711833785004,176.0,CA-LBF I,3.0,8.520923677037974e-05
91,3.0,0.004152823920265781,176.0,CA-LBF I,3.0,9.107329154926571e-05
92,4.0,0.02558139534883721,176.0,CA-LBF I,3.0,5.515025613086471e-05
93,5.0,0.006535947712418301,208.0,CA-LBF I,3.0,7.449994321729316e-05
94,6.0,0.006118286879673691,208.0,CA-LBF I,3.0,5.251853192438845e-05
95,7.0,0.006397952655150352,208.0,CA-LBF I,3.0,3.532000950404576e-05
96,8.0,0.006024096385542169,208.0,CA-LBF I,3.0,4.588378654731499e-05
97,9.0,0.005701254275940707,272.0,CA-LBF I,3.0,3.367989927857787e-05
98,10.0,0.006489994591671174,272.0,CA-LBF I,3.0,3.082149631374485e-05
99,0.0,0.004371584699453552,144.0,CA-LBF II,3.0,2.618515328185199e-05
100,1.0,0.005905511811023622,176.0,CA-LBF II,3.0,9.742721182401063e-05
101,2.0,0.006323396567299007,176.0,CA-LBF II,3.0,8.316118209088435e-05
102,3.0,0.006644518272425249,176.0,CA-LBF II,3.0,8.302568737926379e-05
103,4.0,0.0069767441860465115,176.0,CA-LBF II,3.0,7.23984723534089e-05
104,5.0,0.008714596949891068,208.0,CA-LBF II,3.0,8.500469186918331e-05
105,6.0,0.009517335146159076,208.0,CA-LBF II,3.0,0.00010571844590817644
106,7.0,0.010876519513755598,208.0,CA-LBF II,3.0,8.286093617533589e-05
107,8.0,0.01144578313253012,208.0,CA-LBF II,3.0,8.869826138674558e-05
108,9.0,0.026795895096921322,272.0,CA-LBF II,3.0,0.00012805042686043206
109,10.0,0.029204975662520283,272.0,CA-LBF II,3.0,9.633027590238131e-05
110,0.0,0,63460.0,IA-LBF,3.0,2.7326949655193173e-05
111,1.0,0.001968503937007874,69560.0,IA-LBF,3.0,2.412978417234994e-05
112,2.0,0.0018066847335140017,76808.0,IA-LBF,3.0,2.7190140687702782e-05
113,3.0,0.0008305647840531562,82896.0,IA-LBF,3.0,2.5665825181971482e-05
114,4.0,0.0015503875968992248,89540.0,IA-LBF,3.0,2.881216872585276e-05
115,5.0,0.002178649237472767,96548.0,IA-LBF,3.0,2.832230322999381e-05
116,6.0,0.0013596193065941536,104128.0,IA-LBF,3.0,2.6229952202468623e-05
117,7.0,0.003838771593090211,110280.0,IA-LBF,3.0,2.695046938382662e-05
118,8.0,0.0036144578313253013,115896.0,IA-LBF,3.0,2.6123864310128348e-05
119,9.0,0.004561003420752566,121712.0,IA-LBF,3.0,2.6250933552836324e-05
120,10.0,0.0037858301784748512,126828.0,IA-LBF,3.0,2.5941775395320012e-05
121,0.0,0.004371584699453552,144.0,LBF,3.0,2.6195081945968002e-05
122,1.0,0.003937007874015748,144.0,LBF,3.0,2.3550023146665814e-05
123,2.0,0.004516711833785004,144.0,LBF,3.0,2.648791328805392e-05
124,3.0,0.0049833887043189366,144.0,LBF,3.0,2.4769475551250854e-05
125,4.0,0.005426356589147287,144.0,LBF,3.0,2.7807683892588796e-05
126,5.0,0.007262164124909223,144.0,LBF,3.0,2.750282079144254e-05
127,6.0,0.008157715839564922,144.0,LBF,3.0,2.5557689979428152e-05
128,7.0,0.009596928982725527,144.0,LBF,3.0,2.9569143777365215e-05
