,Batch,Classifier,FPS,Memory,Method,Run,Time
0,0.0,SVM,0.002207505518763797,144.0,CA-LBF I,1.0,2.8873339091261773e-05
1,1.0,SVM,0.003,176.0,CA-LBF I,1.0,4.867517231592064e-05
2,2.0,SVM,1.0,176.0,CA-LBF I,1.0,2.6186958688204407e-05
3,3.0,SVM,0.0025252525252525255,176.0,CA-LBF I,1.0,8.781490430154436e-05
4,4.0,SVM,1.0,176.0,CA-LBF I,1.0,2.476296138242294e-05
5,5.0,SVM,0.002902757619738752,208.0,CA-LBF I,1.0,0.0001339482479408139
6,6.0,SVM,0.002717391304347826,208.0,CA-LBF I,1.0,0.00015911899629186412
7,7.0,SVM,0.006385696040868455,208.0,CA-LBF I,1.0,0.00017899078327220875
8,8.0,SVM,0.01615798922800718,208.0,CA-LBF I,1.0,0.0001719286153604696
9,9.0,SVM,0.01023308698123934,272.0,CA-LBF I,1.0,0.00023851551852383456
10,10.0,SVM,0.011898323418063819,272.0,CA-LBF I,1.0,0.0002572667467725146
11,0.0,SVM,0.002207505518763797,144.0,CA-LBF II,1.0,2.7313363062192317e-05
12,1.0,SVM,0.003,176.0,CA-LBF II,1.0,4.838985172125811e-05
13,2.0,SVM,0.0027573529411764708,176.0,CA-LBF II,1.0,7.508100707674287e-05
14,3.0,SVM,0.003367003367003367,176.0,CA-LBF II,1.0,8.66840445930189e-05
15,4.0,SVM,0.0031201248049922,176.0,CA-LBF II,1.0,0.00011411520952735442
16,5.0,SVM,0.00362844702467344,208.0,CA-LBF II,1.0,0.00013389222608889387
17,6.0,SVM,0.004076086956521739,208.0,CA-LBF II,1.0,0.00015898871291530588
18,7.0,SVM,0.008301404853128991,208.0,CA-LBF II,1.0,0.00017941653073489012
19,8.0,SVM,0.009575104727707959,208.0,CA-LBF II,1.0,0.00017764804127452138
20,9.0,SVM,0.014212620807276862,272.0,CA-LBF II,1.0,0.00023837665935139078
21,10.0,SVM,0.01568415359653867,272.0,CA-LBF II,1.0,0.00025895139673253994
22,0.0,SVM,0.0,29520.0,IA-LBF,1.0,3.623870954121629e-05
23,1.0,SVM,0.0,32480.0,IA-LBF,1.0,2.5435223605463413e-05
24,2.0,SVM,0.0,35920.0,IA-LBF,1.0,2.5710121530001282e-05
25,3.0,SVM,0.0,38784.0,IA-LBF,1.0,2.2464762619935748e-05
26,4.0,SVM,0.0,41552.0,IA-LBF,1.0,2.4095910494444802e-05
27,5.0,SVM,0.000725689404934688,44096.0,IA-LBF,1.0,2.3926542104919102e-05
28,6.0,SVM,0.0006793478260869565,47248.0,IA-LBF,1.0,2.4373414086513832e-05
29,7.0,SVM,0.0006385696040868455,50000.0,IA-LBF,1.0,2.410516634092226e-05
30,8.0,SVM,0.0005984440454817474,51424.0,IA-LBF,1.0,2.108825432075249e-05
31,9.0,SVM,0.0005685048322910744,53504.0,IA-LBF,1.0,2.5584147526667668e-05
32,10.0,SVM,0.0005408328826392645,56512.0,IA-LBF,1.0,2.5137440188900453e-05
33,0.0,SVM,0.002207505518763797,144.0,LBF,1.0,2.3934351254815925e-05
34,1.0,SVM,0.003,144.0,LBF,1.0,2.2834767409361127e-05
35,2.0,SVM,0.0027573529411764708,144.0,LBF,1.0,2.4301758229406805e-05
36,3.0,SVM,0.003367003367003367,144.0,LBF,1.0,2.1388621929564763e-05
37,4.0,SVM,0.0031201248049922,144.0,LBF,1.0,2.2864732585969518e-05
38,5.0,SVM,0.00362844702467344,144.0,LBF,1.0,2.2372261422579407e-05
39,6.0,SVM,0.004076086956521739,144.0,LBF,1.0,2.2841281578189036e-05
40,7.0,SVM,0.008301404853128991,144.0,LBF,1.0,2.293665330488603e-05
41,8.0,SVM,0.009575104727707959,144.0,LBF,1.0,2.0020610683566922e-05
42,9.0,SVM,0.014212620807276862,144.0,LBF,1.0,2.4392054631159856e-05
43,10.0,SVM,0.01568415359653867,144.0,LBF,1.0,2.3980717082600016e-05
44,0.0,NN,0.002207505518763797,144.0,CA-LBF I,1.0,0.0003993997181931587
45,1.0,NN,0.004,176.0,CA-LBF I,1.0,0.00011012202403584464
46,2.0,NN,0.9917279411764706,176.0,CA-LBF I,1.0,5.967890630002882e-05
47,3.0,NN,0.9932659932659933,176.0,CA-LBF I,1.0,5.244296756598467e-05
48,4.0,NN,0.9929797191887676,176.0,CA-LBF I,1.0,5.548769007615053e-05
49,5.0,NN,0.988388969521045,208.0,CA-LBF I,1.0,5.441545788707629e-05
50,6.0,NN,0.0033967391304347825,208.0,CA-LBF I,1.0,0.0003646279944748175
51,7.0,NN,0.006385696040868455,208.0,CA-LBF I,1.0,0.0004097668679205926
52,8.0,NN,0.006582884500299222,208.0,CA-LBF I,1.0,0.0004080691180386386
53,9.0,NN,0.009664582148948267,272.0,CA-LBF I,1.0,0.000552574356833657
54,10.0,NN,0.9886425094645754,272.0,CA-LBF I,1.0,5.787938505738646e-05
55,0.0,NN,0.9856512141280354,144.0,CA-LBF II,1.0,0.00039560435569449646
56,1.0,NN,0.99,176.0,CA-LBF II,1.0,0.0002741149214447522
57,2.0,NN,0.9972426470588235,176.0,CA-LBF II,1.0,0.00019972571909753352
58,3.0,NN,0.9974747474747475,176.0,CA-LBF II,1.0,9.009095489001665e-05
59,4.0,NN,0.9976599063962559,176.0,CA-LBF II,1.0,0.00015452781010195205
60,5.0,NN,0.997822931785196,208.0,CA-LBF II,1.0,0.00028418191795140667
61,6.0,NN,1.0,208.0,CA-LBF II,1.0,0.0001829074380176315
62,7.0,NN,1.0,208.0,CA-LBF II,1.0,0.00021777179214980575
63,8.0,NN,1.0,208.0,CA-LBF II,1.0,0.00025148051125662666
64,9.0,NN,1.0,272.0,CA-LBF II,1.0,0.00015491312676733666
65,10.0,NN,1.0,272.0,CA-LBF II,1.0,0.00023682693858723063
66,0.0,NN,0.017660044150110375,28240.0,IA-LBF,1.0,0.00012617267974435466
67,1.0,NN,0.016,31568.0,IA-LBF,1.0,5.524015166068989e-05
68,2.0,NN,0.015625,35344.0,IA-LBF,1.0,5.859234293953317e-05
69,3.0,NN,0.01430976430976431,38192.0,IA-LBF,1.0,5.110235162120048e-05
70,4.0,NN,0.01326053042121685,40752.0,IA-LBF,1.0,5.519585531266009e-05
71,5.0,NN,0.013788098693759071,43008.0,IA-LBF,1.0,5.4036333261291836e-05
72,6.0,NN,0.014266304347826086,45904.0,IA-LBF,1.0,5.498609907640134e-05
73,7.0,NN,0.0140485312899106,49024.0,IA-LBF,1.0,5.501836210816771e-05
74,8.0,NN,0.013165769000598444,50384.0,IA-LBF,1.0,4.825749240078769e-05
75,9.0,NN,0.013644115974985787,52432.0,IA-LBF,1.0,5.8939168741414836e-05
76,10.0,NN,0.01352082206598161,54832.0,IA-LBF,1.0,5.683794126405821e-05
