,Batch,Classifier,FPS,Memory,Method,Run,Time
0,0.0,SVM,0.42778390297684676,144.0,CA-LBF I,1.0,2.9020962649828768e-05
1,1.0,SVM,1.0,176.0,CA-LBF I,1.0,2.4244433543721184e-05
2,2.0,SVM,1.0,176.0,CA-LBF I,1.0,2.3344175411703807e-05
3,3.0,SVM,1.0,176.0,CA-LBF I,1.0,2.4080276489257812e-05
4,4.0,SVM,0.4683641975308642,176.0,CA-LBF I,1.0,0.0001226748273672302
5,5.0,SVM,0.5239799570508232,208.0,CA-LBF I,1.0,0.00013043320244127284
6,6.0,SVM,1.0,208.0,CA-LBF I,1.0,2.5581140987208634e-05
7,7.0,SVM,1.0,208.0,CA-LBF I,1.0,2.508373050899296e-05
8,8.0,SVM,1.0,208.0,CA-LBF I,1.0,2.6979289212069668e-05
9,9.0,SVM,1.0,272.0,CA-LBF I,1.0,2.4296425201080656e-05
10,10.0,SVM,0.5862628447809627,272.0,CA-LBF I,1.0,0.000260316408597506
11,0.0,SVM,0.4288864388092613,144.0,CA-LBF II,1.0,2.8280885252234053e-05
12,1.0,SVM,1.0,176.0,CA-LBF II,1.0,4.38911667287024e-05
13,2.0,SVM,1.0,176.0,CA-LBF II,1.0,4.672743583637508e-05
14,3.0,SVM,1.0,176.0,CA-LBF II,1.0,4.4068352120821595e-05
15,4.0,SVM,1.0,176.0,CA-LBF II,1.0,4.8096714124002095e-05
16,5.0,SVM,1.0,208.0,CA-LBF II,1.0,4.4285925359673836e-05
17,6.0,SVM,1.0,208.0,CA-LBF II,1.0,4.804981210844113e-05
18,7.0,SVM,1.0,208.0,CA-LBF II,1.0,5.105170574817029e-05
19,8.0,SVM,1.0,208.0,CA-LBF II,1.0,5.378696944687393e-05
20,9.0,SVM,1.0,272.0,CA-LBF II,1.0,4.5405639396919e-05
21,10.0,SVM,1.0,272.0,CA-LBF II,1.0,5.0024671868963555e-05
22,0.0,SVM,1.0,224.0,IA-LBF,1.0,2.77742621016829e-05
23,1.0,SVM,1.0,224.0,IA-LBF,1.0,1.9836946914756232e-05
24,2.0,SVM,1.0,224.0,IA-LBF,1.0,2.121795070627348e-05
25,3.0,SVM,1.0,224.0,IA-LBF,1.0,2.0136598680840164e-05
26,4.0,SVM,1.0,224.0,IA-LBF,1.0,2.1769049389114798e-05
27,5.0,SVM,1.0,224.0,IA-LBF,1.0,2.022388854313418e-05
28,6.0,SVM,1.0,224.0,IA-LBF,1.0,2.190193843320419e-05
29,7.0,SVM,1.0,224.0,IA-LBF,1.0,2.225676735678872e-05
30,8.0,SVM,1.0,224.0,IA-LBF,1.0,2.402263683277172e-05
31,9.0,SVM,1.0,224.0,IA-LBF,1.0,2.077909616323618e-05
32,10.0,SVM,1.0,224.0,IA-LBF,1.0,2.2852813804542625e-05
33,0.0,SVM,1.0,144.0,LBF,1.0,2.143311173948523e-05
34,1.0,SVM,1.0,144.0,LBF,1.0,1.9246763218947448e-05
35,2.0,SVM,1.0,144.0,LBF,1.0,2.0165261023682975e-05
36,3.0,SVM,1.0,144.0,LBF,1.0,1.970145220313567e-05
37,4.0,SVM,1.0,144.0,LBF,1.0,2.130654340233308e-05
38,5.0,SVM,1.0,144.0,LBF,1.0,1.955162632009371e-05
39,6.0,SVM,1.0,144.0,LBF,1.0,2.209084932921363e-05
40,7.0,SVM,1.0,144.0,LBF,1.0,2.119829366495321e-05
41,8.0,SVM,1.0,144.0,LBF,1.0,2.317638187618046e-05
42,9.0,SVM,1.0,144.0,LBF,1.0,2.0293089059682992e-05
43,10.0,SVM,1.0,144.0,LBF,1.0,2.227510724748884e-05
44,0.0,NN,0.4211686879823594,144.0,CA-LBF I,1.0,0.0005830389832797116
45,1.0,NN,0.46726190476190477,176.0,CA-LBF I,1.0,9.975146726180947e-05
46,2.0,NN,0.5076923076923077,176.0,CA-LBF I,1.0,0.00014988060206011996
47,3.0,NN,0.5465116279069767,176.0,CA-LBF I,1.0,0.00015215665264859226
