,Batch,FPS,Memory,Method,Run,Time
0,0.0,0.0020570840833119054,144.0,CA-LBF II,1.0,1.0672734657675801e-05
1,1.0,0.003268736866682232,176.0,CA-LBF II,1.0,6.047521884015981e-05
2,2.0,0.005766766339171294,176.0,CA-LBF II,1.0,6.915424869268267e-05
3,3.0,0.008070866141732283,176.0,CA-LBF II,1.0,7.622815761328733e-05
4,4.0,0.0147918188458729,176.0,CA-LBF II,1.0,8.526085817962267e-05
5,5.0,0.013308309162259,208.0,CA-LBF II,1.0,0.00010014866397588579
6,6.0,0.024288910194950462,208.0,CA-LBF II,1.0,0.00010114102750211148
7,7.0,0.016576250753465943,208.0,CA-LBF II,1.0,0.00012342597739364402
8,8.0,0.02916903813318156,208.0,CA-LBF II,1.0,0.0001111823654967881
9,9.0,0.019140045828278742,272.0,CA-LBF II,1.0,0.00016500399662898137
10,10.0,0.024296675191815855,272.0,CA-LBF II,1.0,0.00013980548247973784
11,0.0,0.0020570840833119054,144.0,LBF,1.0,1.583143929454768e-05
12,1.0,0.0035022180714452487,176.0,LBF,1.0,6.758276357690329e-05
13,2.0,0.0070482699700982485,176.0,LBF,1.0,7.335180068906412e-05
14,3.0,0.01141732283464567,176.0,LBF,1.0,8.4742470895601e-05
15,4.0,0.020635500365230094,176.0,LBF,1.0,9.250393546963134e-05
16,5.0,0.025251663538645282,208.0,LBF,1.0,0.00010795068938702469
17,6.0,0.037392138063279005,208.0,LBF,1.0,0.00010871441101581787
18,7.0,0.040536467751657625,208.0,LBF,1.0,0.00013316792906445922
19,8.0,0.05421172453044963,208.0,LBF,1.0,0.00011926877027737624
20,9.0,0.05688098126432134,272.0,LBF,1.0,0.00012844565504553909
21,10.0,0.062020460358056265,272.0,LBF,1.0,0.00012386663044316852
22,0.0,0.00565698122910774,66148.0,IA-LBF,1.0,1.4255004756052052e-05
23,1.0,0.0058370301190754145,72724.0,IA-LBF,1.0,9.051991696179655e-06
24,2.0,0.006407518154634771,79220.0,IA-LBF,1.0,8.648361902513939e-06
25,3.0,0.006496062992125984,84972.0,IA-LBF,1.0,8.662706588808432e-06
26,4.0,0.00620891161431702,91440.0,IA-LBF,1.0,9.263204835757181e-06
27,5.0,0.006483535232895411,98464.0,IA-LBF,1.0,1.0102616306162474e-05
28,6.0,0.006072227548737616,105128.0,IA-LBF,1.0,8.67873368292985e-06
29,7.0,0.00617842073538276,112324.0,IA-LBF,1.0,1.0528584280033865e-05
30,8.0,0.0061183836084234495,118460.0,IA-LBF,1.0,9.181345822657468e-06
31,9.0,0.0063350855910500065,124368.0,IA-LBF,1.0,9.187789568038592e-06
32,10.0,0.006649616368286445,130556.0,IA-LBF,1.0,8.249976778724338e-06
33,0.0,0.0020570840833119054,144.0,CA-LBF I,1.0,1.3877842904127523e-05
34,1.0,0.002801774457156199,144.0,CA-LBF I,1.0,8.653308346063765e-06
35,2.0,0.004271678769756515,144.0,CA-LBF I,1.0,8.058745831374806e-06
36,3.0,0.00531496062992126,144.0,CA-LBF I,1.0,8.215548091904256e-06
37,4.0,0.007852447041636231,144.0,CA-LBF I,1.0,8.450998804875923e-06
38,5.0,0.008872206108172668,144.0,CA-LBF I,1.0,9.386865924502803e-06
39,6.0,0.011185682326621925,144.0,CA-LBF I,1.0,8.338206523173565e-06
