,Batch,Classifier,FPS,Memory,Method,Run,Time
0,0.0,SVM,0.0020560267283474686,144.0,CA-LBF I,1.0,2.50841103115062e-05
1,1.0,SVM,0.0030416471689284044,176.0,CA-LBF I,1.0,2.4640213899097996e-05
2,2.0,SVM,0.023355474608956504,176.0,CA-LBF I,1.0,5.566331855489011e-05
3,3.0,SVM,0.029028436018957347,176.0,CA-LBF I,1.0,3.476261597945977e-05
4,4.0,SVM,0.013333333333333334,176.0,CA-LBF I,1.0,3.657647682918058e-05
5,5.0,SVM,0.05549863387978142,208.0,CA-LBF I,1.0,5.4699751351384205e-05
6,6.0,SVM,0.0188951160928743,208.0,CA-LBF I,1.0,6.153578569884112e-05
7,7.0,SVM,0.032796750413720474,208.0,CA-LBF I,1.0,6.203393678407411e-05
8,8.0,SVM,0.015073947667804323,208.0,CA-LBF I,1.0,8.66599489398409e-05
9,9.0,SVM,0.015479876160990712,272.0,CA-LBF I,1.0,8.397786384312874e-05
10,10.0,SVM,0.016751918158567775,272.0,CA-LBF I,1.0,9.957024064728228e-05
11,0.0,SVM,0.0020560267283474686,144.0,CA-LBF II,1.0,2.2338657240506148e-05
12,1.0,SVM,0.010060832943378568,176.0,CA-LBF II,1.0,2.2738800998545288e-05
13,2.0,SVM,0.03235483179772873,176.0,CA-LBF II,1.0,3.0270255947508752e-05
14,3.0,SVM,0.046800947867298576,176.0,CA-LBF II,1.0,3.6386533396867304e-05
15,4.0,SVM,0.07525114155251142,176.0,CA-LBF II,1.0,3.610161824839738e-05
16,5.0,SVM,0.25956284153005466,208.0,CA-LBF II,1.0,8.93174365348341e-05
17,6.0,SVM,0.2635708566853483,208.0,CA-LBF II,1.0,5.8462119152045296e-05
18,7.0,SVM,0.2834361366029788,208.0,CA-LBF II,1.0,5.56179490753618e-05
19,8.0,SVM,0.28825369738339024,208.0,CA-LBF II,1.0,6.757307944823204e-05
20,9.0,SVM,0.2911562794454166,272.0,CA-LBF II,1.0,6.179997925946717e-05
21,10.0,SVM,0.2945012787723785,272.0,CA-LBF II,1.0,6.654455855086044e-05
22,0.0,SVM,0.0,29200.0,IA-LBF,1.0,2.1675393093659747e-05
23,1.0,SVM,0.0,32512.0,IA-LBF,1.0,1.0221330951358272e-05
24,2.0,SVM,0.00021427040925648167,35088.0,IA-LBF,1.0,9.202363580094333e-06
25,3.0,SVM,0.0,38752.0,IA-LBF,1.0,8.840283912247148e-06
26,4.0,SVM,0.0,40656.0,IA-LBF,1.0,7.427579634417142e-06
27,5.0,SVM,0.0,45152.0,IA-LBF,1.0,1.1228426858102633e-05
28,6.0,SVM,0.0001601281024819856,47200.0,IA-LBF,1.0,9.787553561204683e-06
29,7.0,SVM,0.00015044380923724988,49616.0,IA-LBF,1.0,8.353572377543936e-06
30,8.0,SVM,0.0001422070534698521,51712.0,IA-LBF,1.0,9.87875734198366e-06
31,9.0,SVM,0.00013460761879122358,54592.0,IA-LBF,1.0,8.761015354719579e-06
32,10.0,SVM,0.0001278772378516624,57168.0,IA-LBF,1.0,9.494610982724386e-06
33,0.0,SVM,0.0020560267283474686,144.0,LBF,1.0,1.028864059369017e-05
34,1.0,SVM,0.0030416471689284044,144.0,LBF,1.0,9.587196888270715e-06
35,2.0,SVM,0.004285408185129634,144.0,LBF,1.0,8.657265500903625e-06
36,3.0,SVM,0.006714060031595577,144.0,LBF,1.0,8.303100142736158e-06
37,4.0,SVM,0.007123287671232876,144.0,LBF,1.0,6.9823997149328965e-06
38,5.0,SVM,0.007855191256830601,144.0,LBF,1.0,9.857272706091157e-06
39,6.0,SVM,0.010728582866293034,144.0,LBF,1.0,9.379614911307416e-06
40,7.0,SVM,0.011584173311268242,144.0,LBF,1.0,7.805854020148454e-06
41,8.0,SVM,0.01350967007963595,144.0,LBF,1.0,9.383580293080415e-06
42,9.0,SVM,0.0142684075918697,144.0,LBF,1.0,8.289134923732702e-06
43,10.0,SVM,0.017135549872122763,144.0,LBF,1.0,8.970684915966899e-06
44,0.0,NN,0.016191210485736313,144.0,CA-LBF I,1.0,0.001023971155548888
45,1.0,NN,0.024567150210575574,176.0,CA-LBF I,1.0,4.897374829810685e-05
46,2.0,NN,0.025283908292264838,176.0,CA-LBF I,1.0,5.93226974930506e-05
47,3.0,NN,0.0339652448657188,176.0,CA-LBF I,1.0,8.164451330034565e-05
48,4.0,NN,0.042739726027397264,176.0,CA-LBF I,1.0,8.373488034450166e-05
49,5.0,NN,0.06557377049180328,208.0,CA-LBF I,1.0,0.00011606434074180255
50,6.0,NN,0.0677341873498799,208.0,CA-LBF I,1.0,0.00011299256227616213
51,7.0,NN,0.04693846848202197,208.0,CA-LBF I,1.0,0.00012453083189014586
52,8.0,NN,0.044226393629124006,208.0,CA-LBF I,1.0,0.00016895797792938297
53,9.0,NN,0.04024767801857585,272.0,CA-LBF I,1.0,0.0002928602968085085
54,10.0,NN,0.040537084398976984,272.0,CA-LBF I,1.0,0.000391980962297277
55,0.0,NN,0.040606527884862506,144.0,CA-LBF II,1.0,0.0012978721630536136
56,1.0,NN,0.13406644829199812,176.0,CA-LBF II,1.0,0.0012671131316062325
57,2.0,NN,0.18962931219198628,176.0,CA-LBF II,1.0,0.0020556801087628757
58,3.0,NN,0.2343996840442338,176.0,CA-LBF II,1.0,0.002018618880465812
59,4.0,NN,0.2708675799086758,176.0,CA-LBF II,1.0,0.00206870162140779
60,5.0,NN,0.3089139344262295,208.0,CA-LBF II,1.0,0.001119602270640773
61,6.0,NN,0.33242594075260207,208.0,CA-LBF II,1.0,0.0010977638982189917
62,7.0,NN,0.350985406950504,208.0,CA-LBF II,1.0,0.001126059871205669
63,8.0,NN,0.3768486916951081,208.0,CA-LBF II,1.0,0.0012773218373003225
64,9.0,NN,0.38659308116839414,272.0,CA-LBF II,1.0,0.001249063039767767
65,10.0,NN,0.41381074168797954,272.0,CA-LBF II,1.0,0.0017034164833179878
66,0.0,NN,0.025700334104343355,15104.0,IA-LBF,1.0,0.001169137717036072
