,Batch,FPS,Memory,Method,Run,Time
0,0.0,0.3641830938857334,144.0,CA-LBF I,1.0,3.261979648045131e-05
1,1.0,0.4339632200212777,176.0,CA-LBF I,1.0,0.00018126201629638673
2,2.0,0.45976210389369015,176.0,CA-LBF I,1.0,0.0001621080126081194
3,3.0,0.48714426750225354,176.0,CA-LBF I,1.0,0.0002232693944658552
4,4.0,0.5204428280244594,176.0,CA-LBF I,1.0,0.0001900012833731515
5,5.0,0.5442115880309313,208.0,CA-LBF I,1.0,0.00019023452486310687
6,6.0,0.5780723905723906,208.0,CA-LBF I,1.0,0.0002232503890991211
7,7.0,0.6002044989775052,208.0,CA-LBF I,1.0,0.00019104187829153878
8,8.0,0.6310213747117841,208.0,CA-LBF I,1.0,0.0002363229479108538
9,9.0,0.6536045997346307,272.0,CA-LBF I,1.0,0.00021788181577410016
10,10.0,0.673737232405205,272.0,CA-LBF I,1.0,0.00024973862511771063
11,0.0,0.3641830938857334,144.0,CA-LBF II,1.0,3.22357177734375e-05
12,1.0,0.45437965449110895,176.0,CA-LBF II,1.0,0.00017412567138671875
13,2.0,0.5248582845460459,176.0,CA-LBF II,1.0,0.00018722690854753766
14,3.0,0.5885736360904837,176.0,CA-LBF II,1.0,0.00017305891854422432
15,4.0,0.643979057591623,176.0,CA-LBF II,1.0,0.0001943068504333496
16,5.0,0.6836639396316635,208.0,CA-LBF II,1.0,0.00018365424019949777
17,6.0,0.7233796296296297,208.0,CA-LBF II,1.0,0.00018150390897478375
18,7.0,0.7564153308265716,208.0,CA-LBF II,1.0,0.00017397144862583706
19,8.0,0.7871564778463264,208.0,CA-LBF II,1.0,0.00019553845269339426
20,9.0,0.8113519091847265,272.0,CA-LBF II,1.0,0.00022069004603794643
21,10.0,0.8318735133622499,272.0,CA-LBF II,1.0,0.00018712118693760464
22,0.0,0.018153469205924935,325112.0,IA-LBF,1.0,3.228816304888044e-05
23,1.0,0.018643294999746693,357608.0,IA-LBF,1.0,3.743546349661691e-05
24,2.0,0.018585633305454884,389576.0,IA-LBF,1.0,2.5028160640171597e-05
25,3.0,0.0192728677512126,421592.0,IA-LBF,1.0,3.8591453007289345e-05
26,4.0,0.019743415530954,456048.0,IA-LBF,1.0,3.749363762991769e-05
27,5.0,0.02047144084575442,491576.0,IA-LBF,1.0,3.739377430507115e-05
28,6.0,0.020552749719416386,526456.0,IA-LBF,1.0,3.6898681095668246e-05
29,7.0,0.020317962926314402,558744.0,IA-LBF,1.0,3.569316864013672e-05
30,8.0,0.02040879915248956,592496.0,IA-LBF,1.0,3.227124895368304e-05
31,9.0,0.020610349402919063,622944.0,IA-LBF,1.0,3.498779024396624e-05
32,10.0,0.020847908213236323,651384.0,IA-LBF,1.0,3.714615958077567e-05
33,0.0,0.3641830938857334,144.0,LBF,1.0,3.1361702510288786e-05
34,1.0,0.41354678555144636,144.0,LBF,1.0,2.9381070818219865e-05
35,2.0,0.46594182696775394,144.0,LBF,1.0,3.3810274941580634e-05
36,3.0,0.5192514057603983,144.0,LBF,1.0,3.925521033150809e-05
37,4.0,0.5696415011390432,144.0,LBF,1.0,3.528022766113281e-05
38,5.0,0.6111546938623034,144.0,LBF,1.0,2.600853783743722e-05
39,6.0,0.6519009539842873,144.0,LBF,1.0,4.184538977486747e-05
40,7.0,0.6890626030740814,144.0,LBF,1.0,3.6986351013183595e-05
41,8.0,0.7235931949897177,144.0,LBF,1.0,3.152329581124442e-05
42,9.0,0.7508771929824561,144.0,LBF,1.0,2.7629171098981584e-05
43,10.0,0.7750944452217714,144.0,LBF,1.0,2.4698734283447264e-05
