,Batch,Classifier,FPS,Memory,Method,Run,Time
0,0.0,LR,0.04427054220234768,228876.0,IA-LBF,1.0,5.968419483729771e-05
1,1.0,LR,0.04331708307942311,249860.0,IA-LBF,1.0,2.5140013013567244e-05
2,2.0,LR,0.044377041530564626,274236.0,IA-LBF,1.0,2.9846668243408205e-05
3,3.0,LR,0.04488971062475814,295500.0,IA-LBF,1.0,2.3793901715959822e-05
4,4.0,LR,0.043892901320777306,319124.0,IA-LBF,1.0,2.4170398712158203e-05
5,5.0,LR,0.04425899709410625,343276.0,IA-LBF,1.0,2.4881090436662947e-05
6,6.0,LR,0.04513512568611684,365936.0,IA-LBF,1.0,2.489607674734933e-05
7,7.0,LR,0.04572237400836104,390236.0,IA-LBF,1.0,2.4498258318219867e-05
8,8.0,LR,0.046411929170549863,413512.0,IA-LBF,1.0,2.4553639548165457e-05
9,9.0,LR,0.0463513752282231,436368.0,IA-LBF,1.0,2.521664755684989e-05
10,10.0,LR,0.04617321953267105,458952.0,IA-LBF,1.0,2.4757521493094307e-05
11,0.0,LR,1.0,144.0,CA-LBF II,1.0,5.6975555419921877e-05
12,1.0,LR,1.0,176.0,CA-LBF II,1.0,7.669925689697265e-05
13,2.0,LR,1.0,176.0,CA-LBF II,1.0,0.0001010312352861677
14,3.0,LR,1.0,176.0,CA-LBF II,1.0,0.00010462549754551479
15,4.0,LR,1.0,176.0,CA-LBF II,1.0,8.687339510236468e-05
16,5.0,LR,1.0,208.0,CA-LBF II,1.0,0.00012072822025844028
17,6.0,LR,1.0,208.0,CA-LBF II,1.0,0.00011909832273210798
18,7.0,LR,1.0,208.0,CA-LBF II,1.0,0.00013378313609531948
19,8.0,LR,1.0,208.0,CA-LBF II,1.0,0.00014769601821899413
20,9.0,LR,1.0,272.0,CA-LBF II,1.0,0.00013111482347760882
21,10.0,LR,1.0,272.0,CA-LBF II,1.0,0.00016510009765625
22,0.0,LR,1.0,144.0,LBF,1.0,5.627735001700265e-05
23,1.0,LR,1.0,176.0,LBF,1.0,8.758531297956194e-05
24,2.0,LR,1.0,176.0,LBF,1.0,9.964806692940849e-05
25,3.0,LR,1.0,176.0,LBF,1.0,9.823601586478096e-05
26,4.0,LR,1.0,176.0,LBF,1.0,9.344884327479772e-05
27,5.0,LR,1.0,208.0,LBF,1.0,0.00010148804528372629
28,6.0,LR,1.0,208.0,LBF,1.0,0.00011392607007707868
29,7.0,LR,1.0,208.0,LBF,1.0,0.00014058106286185128
30,8.0,LR,1.0,208.0,LBF,1.0,0.00013226039069039481
31,9.0,LR,1.0,272.0,LBF,1.0,0.0001527419090270996
32,10.0,LR,1.0,272.0,LBF,1.0,0.0001151621001107352
33,0.0,LR,1.0,144.0,CA-LBF I,1.0,5.62448229108538e-05
34,1.0,LR,1.0,144.0,CA-LBF I,1.0,2.4122919355119977e-05
35,2.0,LR,1.0,144.0,CA-LBF I,1.0,2.5337491716657366e-05
36,3.0,LR,1.0,144.0,CA-LBF I,1.0,2.4786881038120816e-05
37,4.0,LR,1.0,144.0,CA-LBF I,1.0,2.4935245513916015e-05
38,5.0,LR,1.0,144.0,CA-LBF I,1.0,2.524151120867048e-05
39,6.0,LR,1.0,144.0,CA-LBF I,1.0,2.5300502777099608e-05
40,7.0,LR,1.0,144.0,CA-LBF I,1.0,2.5190762111118863e-05
41,8.0,LR,1.0,144.0,CA-LBF I,1.0,2.4532931191580636e-05
42,9.0,LR,1.0,144.0,CA-LBF I,1.0,2.5006839207240515e-05
43,10.0,LR,1.0,144.0,CA-LBF I,1.0,2.708503178187779e-05
