,Batch,Classifier,FPS,Memory,Method,Run,Time
0,0.0,SVM,0.5614499943623859,144.0,CA-LBF I,1.0,0.0007465773582458497
1,1.0,SVM,0.6254867800778848,176.0,CA-LBF I,1.0,0.00019437694549560546
2,2.0,SVM,0.642967542503864,176.0,CA-LBF I,1.0,0.00020593813487461635
3,3.0,SVM,0.6649493462637458,176.0,CA-LBF I,1.0,0.00023303004673549108
4,4.0,SVM,0.6867290771023343,176.0,CA-LBF I,1.0,0.0002554267474583217
5,5.0,SVM,0.6977829202747089,208.0,CA-LBF I,1.0,0.00020617246627807617
6,6.0,SVM,0.725050773863716,208.0,CA-LBF I,1.0,0.00024724033900669644
7,7.0,SVM,0.7418174626718086,208.0,CA-LBF I,1.0,0.00017653662817818778
8,8.0,SVM,0.7614230577689243,208.0,CA-LBF I,1.0,0.00019615186963762557
9,9.0,SVM,0.7686323048360003,272.0,CA-LBF I,1.0,0.00020074612753731864
10,10.0,SVM,0.7817545823422415,272.0,CA-LBF I,1.0,0.00029311582020350867
11,0.0,SVM,0.3474461607847559,144.0,CA-LBF II,1.0,0.0012832894257136754
12,1.0,SVM,0.44589055134248823,176.0,CA-LBF II,1.0,0.00020417417798723492
13,2.0,SVM,0.5299985949135871,176.0,CA-LBF II,1.0,0.00015152134214128766
14,3.0,SVM,0.6005714780500476,176.0,CA-LBF II,1.0,0.0002403629847935268
15,4.0,SVM,0.6512113785206316,176.0,CA-LBF II,1.0,0.00016370282854352678
16,5.0,SVM,0.697260376231711,208.0,CA-LBF II,1.0,0.00020015464510236467
17,6.0,SVM,0.7418236571188459,208.0,CA-LBF II,1.0,0.0003846275465829032
18,7.0,SVM,0.7788654866673259,208.0,CA-LBF II,1.0,0.00025682571956089564
19,8.0,SVM,0.801730577689243,208.0,CA-LBF II,1.0,0.00017083958217075892
20,9.0,SVM,0.8250375740429671,272.0,CA-LBF II,1.0,0.0001902135440281459
21,10.0,SVM,0.8425912970477123,272.0,CA-LBF II,1.0,0.00018722125462123325
22,0.0,SVM,0.06629834254143646,192160.0,IA-LBF,1.0,0.0006670039790017265
23,1.0,SVM,0.06789301086288174,209124.0,IA-LBF,1.0,3.580549785069057e-05
24,2.0,SVM,0.06880239801414453,226192.0,IA-LBF,1.0,4.773432867867606e-05
25,3.0,SVM,0.06935665425577972,244674.0,IA-LBF,1.0,4.742983409336635e-05
26,4.0,SVM,0.07003093736188677,262982.0,IA-LBF,1.0,3.070974349975586e-05
27,5.0,SVM,0.07046879665571812,280002.0,IA-LBF,1.0,3.0263219560895647e-05
28,6.0,SVM,0.07027803067441697,300746.0,IA-LBF,1.0,3.2713208879743305e-05
29,7.0,SVM,0.07112956920135799,324756.0,IA-LBF,1.0,3.787033898489816e-05
30,8.0,SVM,0.0711840139442231,343714.0,IA-LBF,1.0,3.963422775268555e-05
31,9.0,SVM,0.07140541655615477,365736.0,IA-LBF,1.0,3.088351658412388e-05
32,10.0,SVM,0.07102280677207219,384778.0,IA-LBF,1.0,3.609493800571987e-05
33,0.0,SVM,0.1939903033036419,144.0,LBF,1.0,4.264129229954311e-05
34,1.0,SVM,0.2225353556056569,144.0,LBF,1.0,3.3526284354073664e-05
35,2.0,SVM,0.249121820991991,144.0,LBF,1.0,3.478022984095982e-05
36,3.0,SVM,0.2804571824400381,144.0,LBF,1.0,3.071280888148717e-05
37,4.0,SVM,0.3076057696170999,144.0,LBF,1.0,2.99250738961356e-05
38,5.0,SVM,0.33722753060615107,144.0,LBF,1.0,2.9425007956368583e-05
39,6.0,SVM,0.36882834932418235,144.0,LBF,1.0,3.042820521763393e-05
40,7.0,SVM,0.4001450278519397,144.0,LBF,1.0,3.943266187395368e-05
41,8.0,SVM,0.4260769422310757,144.0,LBF,1.0,3.016117640904018e-05
42,9.0,SVM,0.455279521409837,144.0,LBF,1.0,4.759713581630162e-05
43,10.0,SVM,0.48448299986008114,144.0,LBF,1.0,3.216116768973214e-05
44,0.0,NN,0.0042845867628819485,144.0,CA-LBF I,1.0,0.005063768414088658
45,1.0,NN,0.011733961877433901,176.0,CA-LBF I,1.0,0.0007315356390816825
46,2.0,NN,0.03456512575523395,176.0,CA-LBF I,1.0,0.0007137707301548549
47,3.0,NN,0.01013074725084423,176.0,CA-LBF I,1.0,0.0008110151290893554
48,4.0,NN,0.04134356543051147,176.0,CA-LBF I,1.0,0.0009943772043500628
49,5.0,NN,0.0016796058524932815,208.0,CA-LBF I,1.0,0.0007668042182922363
50,6.0,NN,0.03512150710834092,208.0,CA-LBF I,1.0,0.0008434480939592634
51,7.0,NN,0.017897755364382477,208.0,CA-LBF I,1.0,0.000814028263092041
52,8.0,NN,0.009773406374501992,208.0,CA-LBF I,1.0,0.0011172731944492885
53,9.0,NN,0.01164058586037191,272.0,CA-LBF I,1.0,0.0012928188868931362
54,10.0,NN,0.01846928781306842,272.0,CA-LBF I,1.0,0.0004847258840288435
55,0.0,NN,0.0022550456646747096,144.0,CA-LBF II,1.0,0.0028343374252319336
56,1.0,NN,0.09976429596228735,176.0,CA-LBF II,1.0,0.0021954917226518905
57,2.0,NN,0.15306074656924734,176.0,CA-LBF II,1.0,0.0026420068059648787
58,3.0,NN,0.19837215343319767,176.0,CA-LBF II,1.0,0.0025378845759800503
59,4.0,NN,0.2349632367712644,176.0,CA-LBF II,1.0,0.0021885603496006557
60,5.0,NN,0.2600776351149597,208.0,CA-LBF II,1.0,0.002875772203717913
61,6.0,NN,0.28107710623993276,208.0,CA-LBF II,1.0,0.0025461483001708984
62,7.0,NN,0.3044925673225881,208.0,CA-LBF II,1.0,0.002629535470690046
63,8.0,NN,0.3221489043824701,208.0,CA-LBF II,1.0,0.002139624800000872
64,9.0,NN,0.3389620723189815,272.0,CA-LBF II,1.0,0.0021699774605887278
65,10.0,NN,0.3519518679166084,272.0,CA-LBF II,1.0,0.0024472477095467703
66,0.0,NN,0.008907430375465103,140.0,IA-LBF,1.0,0.0029862321717398508
67,1.0,NN,0.015064562410329985,1724.0,IA-LBF,1.0,0.00021148988178798132
68,2.0,NN,0.016954709381293617,3676.0,IA-LBF,1.0,0.0002072619710649763
69,3.0,NN,0.017317516668109795,5316.0,IA-LBF,1.0,0.000256645815713065
70,4.0,NN,0.018763309092370124,6596.0,IA-LBF,1.0,0.00021680286952427457
71,5.0,NN,0.020565840549417735,8084.0,IA-LBF,1.0,0.00018541131700788226
72,6.0,NN,0.021815253168989426,9792.0,IA-LBF,1.0,0.000224301883152553
73,7.0,NN,0.02330333893668216,10688.0,IA-LBF,1.0,0.00020819507326398577
74,8.0,NN,0.02458914342629482,12208.0,IA-LBF,1.0,0.0002653465952192034
75,9.0,NN,0.02499042230277311,14312.0,IA-LBF,1.0,0.000206951413835798
76,10.0,NN,0.02529732755002099,16992.0,IA-LBF,1.0,0.00021632868903023855
77,0.0,NN,0.0027060547976096518,144.0,LBF,1.0,0.0002228288241795131
78,1.0,NN,0.005943840951014552,144.0,LBF,1.0,0.0002723963601248605
79,2.0,NN,0.007587466629197696,144.0,LBF,1.0,0.0002197294235229492
80,3.0,NN,0.008961814875746817,144.0,LBF,1.0,0.0002170218058994838
81,4.0,NN,0.01036602515167343,144.0,LBF,1.0,0.0001980619430541992
82,5.0,NN,0.01168259181845327,144.0,LBF,1.0,0.0001807793208530971
83,6.0,NN,0.013236221023881225,144.0,LBF,1.0,0.00023611606870378767
84,7.0,NN,0.01390948943603942,144.0,LBF,1.0,0.00016751650401524134
85,8.0,NN,0.014846862549800798,144.0,LBF,1.0,0.00016252640315464565
86,9.0,NN,0.01570742345209678,144.0,LBF,1.0,0.00015329456329345704
87,10.0,NN,0.01667832657058906,144.0,LBF,1.0,0.000148784909929548
88,0.0,LR,0.36413349870334877,144.0,CA-LBF I,1.0,8.147165434701102e-05
89,1.0,LR,0.4323631891781103,176.0,CA-LBF I,1.0,0.00012539965765816824
90,2.0,LR,0.46288230059481994,176.0,CA-LBF I,1.0,0.00010995313099452428
91,3.0,LR,0.4976621352498052,176.0,CA-LBF I,1.0,0.00013225671223231723
92,4.0,LR,0.5249306922736952,176.0,CA-LBF I,1.0,0.00014431544712611608
93,5.0,LR,0.5551657211107793,208.0,CA-LBF I,1.0,0.0001770986829485212
94,6.0,LR,0.5865256670635198,208.0,CA-LBF I,1.0,0.00014994239807128906
95,7.0,LR,0.61145720030324,208.0,CA-LBF I,1.0,0.00017248480660574778
96,8.0,LR,0.6382905876494024,208.0,CA-LBF I,1.0,0.00016384267807006836
97,9.0,LR,0.6592697374237468,272.0,CA-LBF I,1.0,0.00018127352850777763
98,10.0,LR,0.6795298726738491,272.0,CA-LBF I,1.0,0.00019316462108067103
99,0.0,LR,0.36413349870334877,144.0,CA-LBF II,1.0,7.870922088623047e-05
100,1.0,LR,0.4469153515064562,176.0,CA-LBF II,1.0,0.00011759792055402483
